Project_id,Project name,Project link,VT link,VT detection result,Propogation link,Propogation method
0,SoftwareSecurity_HW2,https://github.com/CSho27/SoftwareSecurity_HW2,https://www.virustotal.com/gui/file/160102b512cdfb830acabc209bc99f4c7d026c5337aa4b9bdd617e7ebd464819/analysis/1572661778/,[22/56],
1,PracticalMalwareAnalysis-Labs,https://github.com/mikesiko/PracticalMalwareAnalysis-Labs,https://www.virustotal.com/gui/file/0d869a633b4bafb3936d59266f6069770f078c22ac7c0ba9d494455d4394c2ce/analysis/1572661780/,[34/56],
2,folio-2019,https://github.com/brunosimon/folio-2019,https://www.virustotal.com/gui/file/2428563d3b8758715843f9269570f9d0d10eaa0e2a68e35b329d38024c560481/analysis/1572661786/,[0/57],
3,phuip-fpizdam,https://github.com/neex/phuip-fpizdam,https://www.virustotal.com/gui/file/fed5505952c50487878d318e0f2e0b2b9c6a032cbd397eebefd7d315a0f46237/analysis/1572661789/,[0/57],
4,polynote,https://github.com/polynote/polynote,https://www.virustotal.com/gui/file/378fb7db0f8eedb3674e697ff4b0fa4dc80cc61d4676b5cdc195a0b57c68fd73/analysis/1572661794/,[0/58],
5,vue-interactive-paycard,https://github.com/muhammederdem/vue-interactive-paycard,https://www.virustotal.com/gui/file/55470d908c6f18c36ae32b4688bee4e4aaea23ef8287d05b794867f40f90bf10/analysis/1572661799/,[0/57],
6,PowerToys,https://github.com/microsoft/PowerToys,https://www.virustotal.com/gui/file/c891514e27efc8a89a119d9298dba9a5c8268be96c042c9c0bd70258734bef76/analysis/1572661803/,[0/56],
7,shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,https://www.virustotal.com/gui/file/a7b66640ecb2350995db5fe2fbb7a8acd7f81911f4581e3ba53fbe1779107787/analysis/1572661807/,[0/57],
8,iptv,https://github.com/iptv-org/iptv,https://www.virustotal.com/gui/file/0daa48b71380a4f5a4d220d18c1ed9001e93095dd2fc6d1ec67134da9abebf00/analysis/1572661812/,[0/57],
9,pwnagotchi,https://github.com/evilsocket/pwnagotchi,https://www.virustotal.com/gui/file/ad48c532456de5167e7f96268170d42a443d92907fa96c5a0ab77b1245c83061/analysis/1572661816/,[0/57],
10,v,https://github.com/vlang/v,https://www.virustotal.com/gui/file/64cebc4859a01079d45d00a91713e2c27ddd6e763885e8829571d659ee8597d3/analysis/1572661821/,[0/57],
11,Python,https://github.com/geekcomputers/Python,https://www.virustotal.com/gui/file/184762b22b82ea0e2e7920c0dd2769a1b37e5ab90341090ba89bc98d6efeb934/analysis/1572661828/,[2/58],
12,Java,https://github.com/TheAlgorithms/Java,https://www.virustotal.com/gui/file/fc1e50625171f1cac2473b9cb02ab0b6d54241c6312c495bae0e6e77a34fc8b7/analysis/1572661830/,[0/57],
13,oh-my-zsh,https://github.com/robbyrussell/oh-my-zsh,https://www.virustotal.com/gui/file/dee1a2f0b8dec9e933c8229a4a2b868904b53448678073e05e925c6e74189f62/analysis/1572661834/,[0/58],
14,home-assistant,https://github.com/home-assistant/home-assistant,https://www.virustotal.com/gui/file/77faaee3fd550b03b2957835b1684447be2d1a79511637abf8d2951cdf915a47/analysis/1572661839/,[0/56],
15,ipwndfu,https://github.com/axi0mX/ipwndfu,https://www.virustotal.com/gui/file/fed706ac0b45982a535eead686ca39717344ed92790944817c21ee923c0babef/analysis/1572661844/,[0/59],
16,Best-Flutter-UI-Templates,https://github.com/mitesh77/Best-Flutter-UI-Templates,https://www.virustotal.com/gui/file/a1c18c8e7a3c6857979c1364f7417d924669cdebd2f4363109651d764e158e88/analysis/1572661865/,[0/57],
17,storybook,https://github.com/storybookjs/storybook,https://www.virustotal.com/gui/file/5133460d64d681c31884800f269b82ec8086beb3bf974a33c0d9bfcb79005cb0/analysis/1572661883/,[0/54],
18,thefuck,https://github.com/nvbn/thefuck,https://www.virustotal.com/gui/file/a4bb29b56895e1bae232c0c5374595f1353f4e5f536b3dbfc63af4ea68f8aa27/analysis/1572661884/,[0/56],
19,eladmin,https://github.com/elunez/eladmin,https://www.virustotal.com/gui/file/a6861d9489a044fe0b7d8909f9de783d8509b827be9f6cee65cd201908ea05ab/analysis/1572661885/,[0/57],
20,v2rayN,https://github.com/2dust/v2rayN,https://www.virustotal.com/gui/file/caf84e09d9a46493a1dc0f4a9846be8366a7ab388c98aed68abc75e200745a95/analysis/1572661889/,[1/56],
21,pytorch,https://github.com/pytorch/pytorch,https://www.virustotal.com/gui/file/ac143110e12648a0f06982bb8ec315f97550a9523ca26640a2ac8c70fd3aa693/analysis/1572661895/,[0/55],
